feature,value,kind
numeric__calculated_host_listings_count,0.17414174124733503,importance
numeric__multi_listing_host,0.15010542047150954,importance
numeric__large_multi_listing_host,0.12356177521990068,importance
numeric__minimum_nights,0.10542707601570352,importance
numeric__review_intensity,0.09512099134126506,importance
numeric__reviews_per_month,0.07633695025787071,importance
numeric__number_of_reviews,0.07523189234648739,importance
numeric__log_price,0.05114473158874515,importance
numeric__longitude,0.041616141910889366,importance
numeric__latitude,0.02748242500713191,importance
categorical__neighbourhood_Williamsburg,0.007072563117859344,importance
categorical__neighbourhood_group_Queens,0.00629308611781398,importance
categorical__room_type_Entire home/apt,0.005960587145482577,importance
categorical__neighbourhood_group_Brooklyn,0.005777570386977523,importance
categorical__room_type_Private room,0.0052672497191721904,importance
categorical__neighbourhood_group_Manhattan,0.0052364785846197495,importance
numeric__last_review_missing,0.004976624969066796,importance
categorical__neighbourhood_group_Bronx,0.003924010160091048,importance
categorical__neighbourhood_infrequent_sklearn,0.0034002447319856806,importance
categorical__neighbourhood_Financial District,0.0032608941923563386,importance
categorical__room_type_Shared room,0.002854264094615453,importance
categorical__neighbourhood_Midtown,0.00283106620133154,importance
categorical__neighbourhood_East Village,0.0019071653355646231,importance
categorical__neighbourhood_East Flatbush,0.0017029408823937785,importance
categorical__neighbourhood_Greenpoint,0.0014343270204334798,importance
categorical__neighbourhood_group_Staten Island,0.0013564637832884155,importance
categorical__neighbourhood_Hell's Kitchen,0.0011914203459108665,importance
categorical__neighbourhood_Bedford-Stuyvesant,0.000992355696980767,importance
categorical__neighbourhood_Morningside Heights,0.0009646947782105822,importance
categorical__neighbourhood_Theater District,0.0009176248135380303,importance
categorical__neighbourhood_East New York,0.0008344379250493112,importance
categorical__neighbourhood_Bushwick,0.0007539871672451686,importance
categorical__neighbourhood_West Village,0.0006606112740685304,importance
categorical__neighbourhood_Upper West Side,0.0006564457855211022,importance
categorical__neighbourhood_Jamaica,0.0006001370371769148,importance
